date,city,substance,units,items
202103,Brighton,Colecalciferol,400,146.0
202103,Brighton,Colecalciferol,4000,3.0
202103,Brighton,Colecalciferol,800,49.0
202103,Brighton,Colecalciferol,unknown,59.0
202103,Bristol,Colecalciferol,1000,238.0
202103,Bristol,Colecalciferol,10000,5.0
202103,Bristol,Colecalciferol,15000,1.0
202103,Bristol,Colecalciferol,200,718.0
202103,Bristol,Colecalciferol,2000,3.0
202103,Bristol,Colecalciferol,20000,58.0
202103,Bristol,Colecalciferol,2200,1.0
202103,Bristol,Colecalciferol,25000,74.0
202103,Bristol,Colecalciferol,2740,1.0
202103,Bristol,Colecalciferol,3000,5.0
202103,Bristol,Colecalciferol,3200,11.0
202103,Bristol,Colecalciferol,400,1301.0
202103,Bristol,Colecalciferol,40000,1.0
202103,Bristol,Colecalciferol,440,4.0
202103,Bristol,Colecalciferol,50000,45.0
202103,Bristol,Colecalciferol,800,1648.0
202103,Bristol,Colecalciferol,880,138.0
202103,Bristol,Colecalciferol,unknown,1367.0
202103,Canterbury,Colecalciferol,1000,233.0
202103,Canterbury,Colecalciferol,10000,4.0
202103,Canterbury,Colecalciferol,200,391.0
202103,Canterbury,Colecalciferol,2000,5.0
202103,Canterbury,Colecalciferol,20000,20.0
202103,Canterbury,Colecalciferol,2500,2.0
202103,Canterbury,Colecalciferol,25000,1.0
202103,Canterbury,Colecalciferol,2740,1.0
202103,Canterbury,Colecalciferol,3200,6.0
202103,Canterbury,Colecalciferol,400,609.0
202103,Canterbury,Colecalciferol,4000,1.0
202103,Canterbury,Colecalciferol,440,5.0
202103,Canterbury,Colecalciferol,5000,4.0
202103,Canterbury,Colecalciferol,800,278.0
202103,Canterbury,Colecalciferol,880,26.0
202103,Canterbury,Colecalciferol,unknown,580.0
202103,Exeter,Colecalciferol,1000,34.0
202103,Exeter,Colecalciferol,200,20.0
202103,Exeter,Colecalciferol,400,8.0
202103,Exeter,Colecalciferol,800,12.0
202103,Exeter,Colecalciferol,880,124.0
202103,Exeter,Colecalciferol,unknown,75.0
202103,Leeds,Colecalciferol,1000,587.0
202103,Leeds,Colecalciferol,10000,11.0
202103,Leeds,Colecalciferol,200,146.0
202103,Leeds,Colecalciferol,2000,9.0
202103,Leeds,Colecalciferol,20000,184.0
202103,Leeds,Colecalciferol,2400,3.0
202103,Leeds,Colecalciferol,25000,53.0
202103,Leeds,Colecalciferol,3000,2.0
202103,Leeds,Colecalciferol,3200,11.0
202103,Leeds,Colecalciferol,400,765.0
202103,Leeds,Colecalciferol,4000,1.0
202103,Leeds,Colecalciferol,40000,16.0
202103,Leeds,Colecalciferol,440,1.0
202103,Leeds,Colecalciferol,50000,26.0
202103,Leeds,Colecalciferol,5600,1.0
202103,Leeds,Colecalciferol,800,435.0
202103,Leeds,Colecalciferol,880,13.0
202103,Leeds,Colecalciferol,unknown,597.0
202103,London,Colecalciferol,1000,26806.0
202103,London,Colecalciferol,10000,660.0
202103,London,Colecalciferol,15000,20.0
202103,London,Colecalciferol,200,17426.0
202103,London,Colecalciferol,2000,901.0
202103,London,Colecalciferol,20000,13394.0
202103,London,Colecalciferol,2200,54.0
202103,London,Colecalciferol,2400,138.0
202103,London,Colecalciferol,2500,113.0
202103,London,Colecalciferol,25000,2752.0
202103,London,Colecalciferol,2740,86.0
202103,London,Colecalciferol,3000,320.0
202103,London,Colecalciferol,300000,9.0
202103,London,Colecalciferol,3200,348.0
202103,London,Colecalciferol,400,46100.0
202103,London,Colecalciferol,4000,166.0
202103,London,Colecalciferol,40000,509.0
202103,London,Colecalciferol,440,285.0
