date,city,population
2021-02,Salisbury,41835
2021-03,Salisbury,41850
2021-04,Salisbury,41865
2021-05,Salisbury,41880
2021-06,Salisbury,41895
2021-07,Salisbury,41910
2021-08,Salisbury,41925
2021-09,Salisbury,41940
2021-10,Salisbury,41955
2021-11,Salisbury,41970
2021-12,Salisbury,41985
2022-01,Salisbury,42000
2022-02,Salisbury,42015
2022-03,Salisbury,42030
2022-04,Salisbury,42045
2022-05,Salisbury,42060
2022-06,Salisbury,42075
2022-07,Salisbury,42090
2022-08,Salisbury,42105
2022-09,Salisbury,42120
2022-10,Salisbury,42135
2022-11,Salisbury,42150
2022-12,Salisbury,42165
2023-01,Salisbury,42180
2023-02,Salisbury,42195
2023-03,Salisbury,42210
2023-04,Salisbury,42225
2023-05,Salisbury,42240
2023-06,Salisbury,42255
2023-07,Salisbury,42270
2023-08,Salisbury,42285
2023-09,Salisbury,42300
2023-10,Salisbury,42315
2023-11,Salisbury,42330
2023-12,Salisbury,42345
2024-01,Salisbury,42360
2024-02,Salisbury,42376
2024-03,Salisbury,42392
2024-04,Salisbury,42408
2024-05,Salisbury,42423
2024-06,Salisbury,42439
2024-07,Salisbury,42455
2024-08,Salisbury,42471
2024-09,Salisbury,42487
2024-10,Salisbury,42502
2024-11,Salisbury,42518
2024-12,Salisbury,42534
2025-12,Salisbury,42550
2021-01,Kendal,28940
2021-02,Kendal,28945
2021-03,Kendal,28950
2021-04,Kendal,28955
2021-05,Kendal,28960
2021-06,Kendal,28965
2021-07,Kendal,28970
2021-08,Kendal,28975
2021-09,Kendal,28980
2021-10,Kendal,28985
2021-11,Kendal,28990
2021-12,Kendal,28995
2022-01,Kendal,29000
2022-02,Kendal,29008
2022-03,Kendal,29017
2022-04,Kendal,29025
2022-05,Kendal,29033
2022-06,Kendal,29042
2022-07,Kendal,29050
2022-08,Kendal,29058
2022-09,Kendal,29067
2022-10,Kendal,29075
2022-11,Kendal,29083
2022-12,Kendal,29092
2023-01,Kendal,29100
2023-02,Kendal,29108
2023-03,Kendal,29117
2023-04,Kendal,29125
2023-05,Kendal,29133
2023-06,Kendal,29142
2023-07,Kendal,29150
2023-08,Kendal,29158
2023-09,Kendal,29167
2023-10,Kendal,29175
2023-11,Kendal,29183
2023-12,Kendal,29192
2024-01,Kendal,29200
2024-02,Kendal,29212
2024-03,Kendal,29225
2024-04,Kendal,29238
2024-05,Kendal,29250
2024-06,Kendal,29262
2024-07,Kendal,29275
2024-08,Kendal,29288
2024-09,Kendal,29300
2024-10,Kendal,29312
2024-11,Kendal,29325
2024-12,Kendal,29338
2025-12,Kendal,29350
